Key,Id,English(en),Portuguese(pt),Spanish(es)
"Geology_Transforms_EditTransformMenu_ExtraOptions_Position_Value",20873477308416,"Value: 0 mm","Valor: 0 mm",
"Geology_Transforms_EditTransformMenu_ExtraOptions_Position_Lower",141414653706240,"Lower","Mais baixo",
"Geology_Transforms_EditTransformMenu_ExtraOptions_Position_Higher",141416750858240,"Higher","Mais Alto",
"Geology_Transforms_EditTransformMenu_ExtraOptions_FaultColour",141418285973504,"Fault Colour","Cor da Falha",
"Geology_Transforms_EditTransformMenu_ExtraOptions_FaultColour_Value",141419636539392,,,
"Geology_Transforms_EditTransformMenu_TransformSummary",141420345376768,"Transform Summary","Resumo da Transformação",
"Geology_SaveLoad",141421079379968,"Save/Load","Salvar/Carregar",
"Geology_SaveLoad_CurrentGeologyFile",141421754662912,"Current Geology File","Arquivo Atual de Geologia",
"Geology_SaveLoad_NoFileSelected",141422438334464,"No File Selected","Nenhum Arquivo Selecionado",
"Geology_SaveLoad_GeologyFileList",141423088451584,"Geology File List","Lista de Arquivos",
"Geology_SaveLoad_SaveAsNewGeology",141423776317440,"Save As                                                          New Geology","Salvar como Novo Arquivo",
"Geology_SaveLoad_SaveOverCurrentGeology",141424430628864,"Save Over                                                Current Geology","Sobrescrever Arquivo Atual",
"Topography_BuilderOptions",141425118494720,"Builder Options","Opções do Construtor",
"Topography_LoadedTopography",141425793777664,"Loaded Topography","Topografia Carregada",
"Topography_TopographyToRename",141426364203008,"Topography To Rename","Topografia para Renomear",
"Topography_SavedTopographies",141427031097344,"Saved Topographies","Topografias Salvas",
"Topography_SaveNewTopography",142420418445312,"Save New Topography","Salvar Nova Topografia",
"Topography_LoadedTopographyHeightOffset",142467763748864,"Loaded Topography Height Offset","Deslocamento de Altura da Topografia Carregada",
"Topography_LoadedTopographyHeightOffset_Value",142475988779008,"Value: 0 mm","Valor: 0 mm",
"Topography_Lower",142499820814336,"Lower","Mais baixo",
"Topography_Higher",142735477784576,"Higher","Mais Alto",
"Topography_Mm",142785033486336,"mm","mm",
"Topography_HeightAcceptanceRange",142786883174400,"Height Acceptance Range","Faixa deAceitação de Altura",
